Código;Família;Subtipo;Descrição;Especialidade;Conc. JJ Ref 1;Conc. JJ Ref 2;Conc. JJ Ref 3;Conc. JJ Ref 4;Diâmetro;Comprimento Fio;Descrição completa agulha;Tipo;Cod. Agulha;Curv;Tamanho Agulha;Env / Cxa;Observação ;RMS;Descrição para Licitação;Composto;NomeConcorrente;codigo_bioline
XM845;BIOSYN;SAS;BIOSYN INC 4-0 45CM DX16;Cirurgia Plástica;MCP845G;;;;4-0;45 cm;3/8 Dermax - Cortante premium conv. Diamante 16 mm;Dermax - Cortante premium conv. Diamante;DX16;3/8;16 mm;12;;10349000038;Fio de sutura cirúrgica Biosyn Incolor composto por Glycomer 631 (Glicolida, Dioxanona e Carbonato de Trimetileno) monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha DX16 de curvatura 3/8Dermax - Cortante premium conv. Diamante de 16 mm. Produto comercializado em caixa contendo12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000038 Código/modelo:XM845 Fabricante: Polysuture. Origem: Nacional.;Glicomer 631;;
CO1000-;BONE WAX;HEMOSTÁTICO;BONE WAX;Cera para Osso;XYW31G;;W31G;; - ; - ;Tablete; - ;-; - ;-;12;Encer. Prod. Dez. 24;80052020074;Cera para osso Bone Wax composto por Cera de abelha, parafina e palmitato de isopropila, 2,5 g Tablete. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020074 Código/modelo:CO1000- Fabricante: Polysuture. Origem: Nacional.;Cera para osso;Cera para osso;WAXBIO25B
CC1945G;CAPROSYN;SAS;CAPROSYN INC 2-0 90CM KV34;Fechamento Geral / Obstetrícia / Ginecologia;VR9962G;;;;2-0;90 cm;1/2 Círculo cilíndrica Tapercut 37 mm;Círculo cilíndrica Tapercut;KV34;1/2;37 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 2-0 com 90 cm de comprimento, com agulha KV34 de curvatura 1/2 Círculo cilíndrica Tapercut 37 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:CC1945G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
CC196;CAPROSYN;SAS;CAPROSYN INC 1 90CM KV34;Fechamento Geral / Obstetrícia / Ginecologia;VR9964G;;;;1;90 cm;1/2 Círculo cilíndrica Tapercut 37 mm;Círculo cilíndrica Tapercut;KV34;1/2;37 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 1 com 90 cm de comprimento, com agulha KV34 de curvatura 1/2 Círculo cilíndrica Tapercut 37 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:CC196 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
CC913;CAPROSYN;SAS;CAPROSYN INC 0 90CM GS24;Fechamento Geral / Obstetrícia / Ginecologia;VR9580G;;;;0;90 cm;1/2 Círculo cilíndrica Robusta 40 mm;Círculo cilíndrica Robusta;GS24;1/2;40 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 0 com 90 cm de comprimento, com agulha GS24 de curvatura 1/2 Círculo cilíndrica Robusta 40 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:CC913 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
CC914;CAPROSYN;SAS;CAPROSYN INC 1 90CM GS24;Fechamento Geral / Obstetrícia / Ginecologia;VR9590G;;;;1;90 cm;1/2 Círculo cilíndrica Robusta 40 mm;Círculo cilíndrica Robusta;GS24;1/2;40 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 1 com 90 cm de comprimento, com agulha GS24 de curvatura 1/2 Círculo cilíndrica Robusta 40 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:CC914 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
CC923;CAPROSYN;SAS;CAPROSYN INC 2-0 90CM GS21;Fechamento Geral / Obstetrícia / Ginecologia;;;;;2-0;90 cm;1/2 Círculo cilíndrica Robusta 37 mm;Círculo cilíndrica Robusta;GS21;1/2;37 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida), de diâmetro USP 2-0 com 90 cm de comprimento, com agulha GS21 de curvatura 1/2 Círculo cilíndrica Robusta 37 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:CC923 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
GC123;CAPROSYN;SAS;CAPROSYN INC 2-0 75 CM V20;Aparelho Digestivo;VR4170G;;;;2-0;75 cm;1/2 Círculo  Cilíndrico 26 mm;Círculo  Cilíndrico;V20;1/2;26 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 2-0 com 75 cm de comprimento, com agulha V20 de curvatura 1/2 Círculo  Cilíndrico 26 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:GC123 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC3625G;CAPROSYN;SAS;CAPROSYN INC 6-0 45CM P10;Cirurgia Plástica;W9913;XCW9913;;;6-0;45 cm;3/8 Triang. Reverso Premium 11 mm;Triang. Reverso Premium - EDGELLANT;P-10;3/8;11 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 6-0 com 45 cm de comprimento, com agulha P10 de curvatura 3/8 Triang. Reverso Premium 11 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC3625G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC3626G;CAPROSYN;SAS;CAPROSYN INC 5-0 45CM P10;Cirurgia Plástica;VR9915G;;;;5-0;45 cm;3/8 Triang. Reverso Premium 11 mm;Triang. Reverso Premium - EDGELLANT;P-10;3/8;11 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha P10 de curvatura 3/8 Triang. Reverso Premium 11 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC3626G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5616G;CAPROSYN;SAS;CAPROSYN 5-0 INCOLOR 45CM P12;Cirurgia Plástica;;;;;5-0;45 cm;3/8 Triang. Reverso Premium 19 mm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;19 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha P-12 de curvatura 3/8Triang. Reverso Premium - EDGELLANT de 19 mm. Produto comercializado em caixa contendo12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5616G Fabricante: Polysuture. Origem: Nacional.;Polyglytone 6211;;
SC5618G;CAPROSYN;SAS;CAPROSYN 3-0 INCOLOR 45CM P12;Cirurgia Plástica;VR497G;;;;3-0;45 cm;3/8 Triang. Reverso Premium 19 mm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;19 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 3-0 com 45 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 19 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5618G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5635G;CAPROSYN;SAS;CAPROSYN INC 6-0 45CM P11;Cirurgia Plástica;;;;;6-0;45 cm;3/8 Triang. Reverso Premium 16 mm;Triang. Reverso Premium - EDGELLANT;P-11;3/8;16 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 6-0 com 45 cm de comprimento, com agulha P11 de curvatura 3/8 Triang. Reverso Premium 16 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5635G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5637G;CAPROSYN;SAS;CAPROSYN 4-0 INCOLOR 75CM P12;Cirurgia Plástica;VR9930G;;;;4-0;75 cm;3/8 Triang. Reverso Premium 19 mm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;19 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 4-0 com 75 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 19 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5637G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5638G;CAPROSYN;SAS;CAPROSYN INC 3-0 75 CM P12;Cirurgia Plástica;;;;;3-0;75 cm;3/8 Triang. Reverso Premium 19 mm;Triang. Reverso Premium - EDGELLANT;P-12;3/8;19 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha P12 de curvatura 3/8 Triang. Reverso Premium 19 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5638G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5642G;CAPROSYN;SAS;CAPROSYN 5-0 INC 5-0 45 CM P-24;Cirurgia Plástica;VR9910G;;;;5-0;45 cm;1/2 Triang. Reverso Premium 16 mm;Triang. Reverso Premium - EDGELLANT;P-24;1/2;16 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha P24 de curvatura 1/2 Triang. Reverso Premium 16 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5642G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5643G;CAPROSYN;SAS;CAPROSYN  4-0 INC 45 CM P-24;Cirurgia Plástica;VR9911G;;;;4-0;45 cm;1/2 Triang. Reverso Premium 16 mm;Triang. Reverso Premium - EDGELLANT;P-24;1/2;16 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha P24 de curvatura 1/2 Triang. Reverso Premium 16 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5643G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5686G;CAPROSYN;SAS;CAPROSYN INC 4-0 45CM P11;Cirurgia Plástica;;;;;4-0;45 cm;3/8 Triang. Reverso Premium 16 mm;Triang. Reverso Premium - EDGELLANT;P-11;3/8;16 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha P11 de curvatura 3/8 Triang. Reverso Premium 16 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5686G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5689G;CAPROSYN;SAS;CAPROSYN INC 5-0 45CM P13;Cirurgia Plástica;VR4930G;;;;5-0;45 cm;3/8 Triang. Reverso Premium 13 mm;Triang. Reverso Premium - EDGELLANT;P-13;3/8;13 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 5-0 com 45 cm de comprimento, com agulha P13 de curvatura 3/8 Triang. Reverso Premium 13 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5689G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5690G;CAPROSYN;SAS;CAPROSYN INC 4-045CM P13;Cirurgia Plástica;;;;;4-0;45 cm;3/8 Triang. Reverso Premium 13 mm;Triang. Reverso Premium - EDGELLANT;P-13;3/8;13 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 4-0 com 45 cm de comprimento, com agulha P13 de curvatura 3/8 Triang. Reverso Premium 13 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5690G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC5780G;CAPROSYN;SAS;CAPROSYN INC 3-0 75 CM P14;Cirurgia Plástica;VR9360G;;;;3-0;75 cm;3/8 Triang. Reverso Premium 24 mm;Triang. Reverso Premium - EDGELLANT;P-14;3/8;24 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha P14 de curvatura 3/8 Triang. Reverso Premium 24 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC5780G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
SC693G;CAPROSYN;SAS;CAPROSYN 3-0 INC 75 CM C-14;Cuticular - Fechamento de Pele;VR9940G;;;;3-0;75 cm;3/8 Círculo Triangular 24 mm;Círculo Triangular;C14;3/8;24 mm;12;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha C14 de curvatura 3/8 Círculo Triangular 24 mm. Produto comercializado em caixa contendo 12 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:SC693G Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
UC202;CAPROSYN;SAS;CAPROSYN INC 5-0 75 CM CV23;Urologia;VR2130G;;;;5-0;75 cm;1/2 Círc.Cilíndrica Corpo Retangular 17 mm;Círc.Cilíndrica Corpo Retangular;CV23;1/2;17 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 5-0 com 75 cm de comprimento, com agulha CV23 de curvatura 1/2 Círc.Cilíndrica Corpo Retangular 17 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:UC202 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
UC203;CAPROSYN;SAS;CAPROSYN INC 4-0 75 CM CV23;Urologia;VR2140G;;;;4-0;75 cm;1/2 Círc.Cilíndrica Corpo Retangular 17 mm;Círc.Cilíndrica Corpo Retangular;CV23;1/2;17 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 4-0 com 75 cm de comprimento, com agulha CV23 de curvatura 1/2 Círc.Cilíndrica Corpo Retangular 17 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:UC203 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
UC403;CAPROSYN;SAS;CAPROSYN INC 4-0 75 CM CV25;Aparelho Digestivo;VR2180G;;;;4-0;75 cm;1/2 Círc.Cilíndrica Corpo Retangular 22 mm;Círc.Cilíndrica Corpo Retangular;CV25;1/2;22 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 4-0 com 75 cm de comprimento, com agulha CV25 de curvatura 1/2 Círc.Cilíndrica Corpo Retangular 22 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:UC403 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
UC404;CAPROSYN;SAS;CAPROSYN INC 3-0 75CM CV25;Aparelho Digestivo;VR2190G;;;;3-0;75 cm;1/2 Círc.Cilíndrica Corpo Retangular 22 mm;Círc.Cilíndrica Corpo Retangular;CV25;1/2;22 mm;36;;10349000229;Fio de sutura cirúrgica Caprosyn Incolor composto por Polyglitone 6211 (Glicolida, Caprolactona, Carbonato de Trimetileno, Lactida) monofilamentar, de diâmetro USP 3-0 com 75 cm de comprimento, com agulha CV25 de curvatura 1/2 Círc.Cilíndrica Corpo Retangular 22 mm. Produto comercializado em caixa contendo 36 envelopes. Marca: COVIDIEN. Registro ANVISA: 10349000229 Código/modelo:UC404 Fabricante: Covidien LLC Origem: Importado da República Dominicana;Polyglytone 6211;;
FC500-;CARDIAC TAPE;CARDIO;CARDIAC TAPE 1X80CM;Fita Cardíaca;FAB46T;;;; - ;80cm / 3,5mm largura;;-;;-;-;24;;80052020060;Fita cirúrgica Cardiac Tape Branca composta por Algodão Trançado, de largura 3,5 mm com 80 cm de comprimento. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020060 Código/modelo:FC500- Fabricante: Polysuture. Origem: Nacional.;Fita cardíaca;Fita cardíaca;BFCARDIO35X80
CC15001E-;CHROMIC GUT;GUT;CHROMIC GUT 1 1.5M FIG.;Ligadura;CC126T;;S115SH;;1;150 cm;;-;;-;-;24;;80052020035;Fio de sutura cirúrgica Chromic Gut composto por Catgut Cromado torcido e polido, de diâmetro USP 1 com 150 cm de comprimento, sem agulha. Produto comercializado em caixa contendo 24 envelopes. Marca: COVIDIEN. Registro ANVISA: 80052020035 Código/modelo:CC15001E- Fabricante: Polysuture. Origem: Nacional.;Catgut cromado;Catgut cromado;CC1SA150
